crm:E90_SymbolicObject,rdfs:label
orlando-guerriero,Orlando guerriero
battaglia-destino_bellicoso,Storia bellicosa di Orlando
angelica-amata,Angelica amata da Orlando
bosco-amore,Bosco dell'amore
angelica_incede-oggetto_di_amore_inseguito,Angelica oggetto d'amore inseguito
amore_angelica_e_medoro-amore_non_corrisposto,Amore non corrisposto
medoro-amante,Amante 
amorino_volante-intelletto_fuggente_di_orlando,Orlando perde la ragione
orlando_feroce-violenza,Violenza
schianto_dei_tronchi_violenza,Violenza
durlindana-abbandono_destino_bellicoso,Abbandono del destino bellicoso
energie_e_beni-spreco,Spreco
luna-sconfitta,Sconfitta
orlando-pazzia,Pazzia di Orlando
ampolla-custodia_della_ragione,Custodia della ragione
cavalieri-recupero_della_ragione,Recupero della ragione
orlando-armonia,Armonia interiore
astolfo-cavaliere,Astolfo cavaliere
durlindana-assenza_di_orlando,Assenza di Orlando
carlo_magno-regalità,Regalità 
banchetto-convivialità,Convivialità
orlando-pazzia,Pazzia di Orlando
amore-eros,Eros
parigi_assediata-nemico_saraceno,Nemico saraceno
caduta_dei_cadaveri-sconfitta,Sconfitta
orlando-speranza,Speranza
indovino-sapienza,Sapienza
cielo-ascensione,Movimento ascensionale al cielo 
deposito-custodia_pensieri,Custodia dei pensieri
ippogrifo-movimento,Movimento di Astolfo verso la luna
luna-meta,Meta del viaggio di Astolfo
luna-mondo_allo_incontrario,Mondo all'incontrario
poeta-narratore,Narratore
luna-deserto,Deserto