vir:IC9_Representation,rdf:type,crm:K14_symbolize,crm:P190_has_symbolic_content
re-di-spade-storiaCinque-orlando,gc:G1_Character,orlando-guerriero,"""Orlando paladino che mulinava la sua Durlindana."""
dieci-di-spade-storiaCinque-battaglia,gc:G5_Narrative_Event,battaglia-destino_bellicoso,"""E subito i nostri occhi furono come accecati dal polverone delle battaglie [...]."""
regina-di-spade-storiaCinque-angelica,gc:G1_Character,angelica-amata,"""donna bionda, che in mezzo alle lame affilate e alle piastre di ferro affaccia l'inafferrabile sorriso d'un gioco sensuale, noi riconoscemmo Angelica, la maga venuta dal Catai per la rovina delle armate franche [...]."""
dieci-di-bastoni-storiaCinque-bosco,gc:G13_Narrative_Location,bosco-amore,"""Vedemmo la foresta schiudersi malvolentieri all'avanzare del campione [...] Il bosco dell'amore, Orlando, non é luogo per te!"""
il-carro-storiaCinque-angelica_incede,gc:G5_Narrative_Event,angelica_incede-oggetto_di_amore_inseguito,"""una sola visione lo occupava: [...] l'incedere fatato d'Angelica nel bosco [...]."""
lo-amore-storiaCinque-amore_angelica_e_medoro,gc:G5_Narrative_Event,amore_angelica_e_medoro-amore_non_corrisposto,"""una stretta d'amore morbida e struggente univa intanto Angelica e Medoro."""
fante-di-bastoni-storiaCinque-medoro,gc:G1_Character,medoro-amante,"""un giovanottino del seguito, snello e civettuolo come una fanciulla"""
il-sole-storiaCinque-amorino_volante,gc:G1_Character,amorino_volante-intelletto_fuggente_di_orlando,"""Un amorino fuggiva a volo portando via il lume della saggezza d'Orlando [...]."""
la-forza-storiaCinque-orlando_feroce,gc:G1_Character,orlando_feroce-violenza,"""quel fiore della cavalleria trasformato in una cieca esplosione tellurica [...]."""
cinque-di-bastoni-storiaCinque-schianto_dei_tronchi,gc:G5_Narrative_Event,schianto_dei_tronchi_violenza,"""schianto dei tronchi di quercia sradicati dall'ossesso"""
sette-di-spade-storiaCinque-durlindana,gc:G16_Object,durlindana-abbandono_destino_bellicoso,"""l'ozio della Durlindana rimasta appesa a un albero e dimenticata"""
cinque-di-denari-storiaCinque-energie_e_beni,gc:G5_Narrative_Event,energie_e_beni-spreco,"""spreco d'energie e di beni"""
la-luna-storiaCinque-luna,gc:G13_Narrative_Location,luna-sconfitta,"""una terra oramai lunare"""
il-matto-storiaCinque-orlando,gc:G1_Character,orlando-pazzia,"""Sfogato ormai il più grosso groppo di furore, [...] con la testa piena di penne [...] ecco che Orlando era disceso giù nel cuore caotico delle cose, [...] al punto d'intersezione di tutti gli ordini possibili."""
tre-di-coppe-storiaCinque-ampolla,gc:G16_Object,ampolla-custodia_della_ragione,"""La sua ragione? [...] un'ampolla custodita nella Valle delle Ragioni Perdute"""
la-giustizia-storiaCinque-cavalieri,gc:G1_Character,cavalieri-recupero_della_ragione,"""i cavalieri dell'Armata di Carlomagno seguivano le piste del loro campione [...], non rinunciavano a riportare la sua spada al servizio di Ragione e Giustizia."""
il-penduto-storiaCinque-orlando,gc:G1_Character,orlando-armonia,"""Il paladino legato a testa in giù [...] Lasciatemi così. Ho fatto tutto il giro e ho capito. Il mondo si legge all'incontrario. Tutto è chiaro."""
cavaliere-di-bastoni-storiaSei-astolfo,gc:G1_Character,astolfo-cavaliere,"""colui che del recupero s'era fatto un dovere [...] Astolfo"""
asso-di-spade-storiaSei-durlindana,gc:G16_Object,durlindana-assenza_di_orlando,"""la Durlindana d'Orlando rimasta inoperosa appesa a un albero..."""
lo-imperatore-storiaSei-carlo_magno,gc:G1_Character,carlo_magno-regalità,"""raffigurato con la barba bianca e la fiorita saggezza di Carlo Magno in trono..."""
nove-di-coppe-storiaSei-banchetto,gc:G5_Narrative_Event,banchetto-convivialità,"""Prolungandosi l'assenza d'Orlando dal Campo Franco, Astolfo fu chiamato da Re Carlo e invitato a sedere a banchetto con lui..."""
il-matto-storiaSei-orlando,gc:G1_Character,orlando-pazzia,"""[...] Orlando, nostro nipote, ha perso il lume che distingue l'uomo e le bestie savie dalle bestie e dagli uomini matti, e adesso corre [...] cosparso di penne d'uccelli [...]."""
lo-amore-storiaSei-amore,gc:G1_Character,amore-eros,"""[...] alla pazzia lo ha spinto Eros, dio pagano, che più è represso più devasta..."""
il-mondo-storiaSei-parigi_assediata,gc:G13_Narrative_Location,parigi_assediata-nemico_saraceno,"""Parigi nella cerchia dei suoi baluardi, stretta da mesi nell'assedio saraceno"""
la-torre-storiaSei-caduta_dei_cadaveri,gc:G5_Narrative_Event,caduta_dei_cadaveri-sconfitta,"""il precipitare dei cadaveri giù dagli spalti tra getti d'olio rovente e macchine d'assedio all'opera"""
nove-di-spade-storiaSei-orlando,gc:G1_Character,orlando-speranza,"""Solo nostro nipote potrebbe guidarci in una sortita che tagli il cerchio di ferro e di fuoco..."""
lo-eremita-storiaSei-indovino,gc:G1_Character,indovino-sapienza,"""un vecchio gobbo con la clessidra in mano, un indovino che rovescia il tempo irreversibile e prima del prima vede il dopo. [...] a questo sapiente o magomerlino che Astolfo si rivolge per ritrovare la ragione di Orlando"""
il-giudizio-storiaSei-cielo,gc:G16_Object,cielo-ascensione,"""È in cielo che tu devi salire Astolfo [...] indicava un'ascensione sovrumana"""
dieci-di-coppe-storiaSei-deposito,gc:G13_Narrative_Location,deposito-custodia_pensieri,"""uno sterminato deposito conserva dentro ampolle messe in fila [...] le storie che gli uomini non vivono, i pensieri [...]."""
il-carro-storiaSei-ippogrifo,gc:G1_Character,ippogrifo-movimento,"""Astolfo il suo Ippogrifo l'aveva e montò in sella. Prese il largo nel cielo."""
la-luna-storiaSei-luna,gc:G13_Narrative_Location,luna-meta,"""La Luna crescente gli venne incontro."""
la-ruota-della-fortuna-storiaSei-luna,gc:G13_Narrative_Location,luna-mondo_allo_incontrario,"""una descrizione più particolareggiata del mondo della Luna, che ci lasciasse sbizzarrire nelle vecchie fantasie d'un mondo all'incontrario [...]."""
il-bagatto-storiaSei-poeta,gc:G1_Character,poeta-narratore,"""nome e immagine di significato controverso ma che qui pure può intendersi - dal calamo che tiene in mano come se scrivesse - un poeta."""
asso-di-denari-storiaSei-luna,gc:G13_Narrative_Location,luna-deserto,"""la Luna è un deserto, [...] da questa sfera arida parte ogni discorso e ogni poema [...]."""